,labels,frequency
0,cord,2
1,battery life,53
2,staff,60
3,food,364
4,kitchen,3
5,menu,57
6,perks,1
7,orrechiete with sausage and ch,1
8,waiters,12
9,meats,2
10,dish,19
11,bagels,20
12,toast,1
13,mayonnaise,1
14,bacon,2
15,cheese,11
16,ingredients,11
17,plate,4
18,omelet,1
19,drinks,34
20,check,6
21,design,15
22,atmosphere,49
23,cuisine,11
24,pizza,49
25,thin crusted pizza,1
26,interior decoration,1
27,chefs,2
28,seats,3
29,seltzer with lime,1
30,pickles,3
31,selection of meats and seafood,1
32,dishes,29
33,eat family style,1
34,vibe,5
35,owner,14
36,service,246
37,delivery,13
38,prices,65
39,interior decor,1
40,wine,22
41,price,99
42,quantity,5
43,sushi,35
44,sushi bar,3
45,fried rice,2
46,mussels,3
47,puff pastry goat cheese,1
48,salad with a delicious dressin,1
49,hanger steak au poivre,1
50,courses,3
51,indian food,7
52,place,63
53,broth with noodles,1
54,meal,40
55,money,6
56,wine list,19
57,thai food,16
58,glass of wine,5
59,specials,12
60,lunch,29
61,dinner,56
62,dine,1
63,desert,1
64,bar,31
65,table,39
66,environment,2
67,lasagnette appetizer,1
68,beer selection,1
69,setting,7
70,dining,6
71,dosa,3
72,wine list selection,1
73,wine  by  the  glass,1
74,entrees,8
75,sake martini,2
76,spreads,3
77,chopsticks,1
78,garden terrace,1
79,crowded,1
80,grilled branzino,1
81,wait staff,11
82,french food,4
83,packed,1
84,pre  theater menu,2
85,order,2
86,server,8
87,scents,1
88,lobster sandwich,3
89,spider roll,1
90,shell crab,1
91,deep fried skewers,1
92,reservations,13
93,hostess,8
94,rice dishes,2
95,congee  rice porridge ,1
96,tuna tartar appetizer,1
97,chef,14
98,fish dishes,1
99,soups,3
100,french fare,1
101,baby pizzas,2
102,waiting,4
103,lava cake dessert,1
104,managers,1
105,selection of wines,1
106,italian decor,1
107,dining experience,3
108,wine selection,5
109,reservation,19
110,maitre,1
111,panang duck,1
112,raw vegatables,1
113,indian,3
114,ambiance,21
115,bbq salmon,1
116,sea bass,2
117,crispy duck,1
118,crust,6
119,kababs,1
120,dal bukhara,1
121,eating,1
122,taste,11
123,glass of prosecco,1
124,glass of leaping lizard,1
125,creme brulee,2
126,sugar,2
127,served,14
128,garlic knots,1
129,chinese food,5
130,teapot,1
131,fresh mozzarella,1
132,getting a table,3
133,bistro  type vibe,1
134,waitress,16
135,tables,14
136,fish,23
137,variety of fish,1
138,pesto pizza,2
139,house salad,2
140,bottle of wine,3
141,bartender,10
142,beverage manager,1
143,music,15
144,refleshment,1
145,foods,4
146,tastes,2
147,sommlier,1
148,captain,1
149,back waiters,1
150,tandoori salmon,1
151,space,13
152,atmorphere,1
153,menu items,3
154,three course meal,2
155,crawfish boiled,1
156,pad thai,7
157,noodles,5
158,delivered,2
159,values for your money,1
160,wait building,1
161,corridor,1
162,counters,1
163,counter,3
164,steaks,1
165,salads,9
166,sides,4
167,pickels and slaw,1
168,wine by the glass,1
169,change mojito,1
170,soup for the udon,1
171,soy sauce,2
172,water,5
173,anti  pasta,1
174,calamari,3
175,filling pasta mains,1
176,glasses of wine,2
177,ceviche mix  special ,1
178,crab dumplings,1
179,assorted sashimi,1
180,rolls,7
181,sake,6
182,banana tempura,1
183,plain pizza,2
184,garlic,3
185,eggplant,2
186,servers,7
187,takeout menu,1
188,italian dishes,1
189,bottles of wine,1
190,beers,4
191,pumkin tortelini,1
192,dinner special,2
193,crabmeat lasagna,1
194,chocolate bread pudding,1
195,dessert,19
196,pasta dishes,1
197,tiramisu,3
198,bagel,12
199,plate of dumplings,1
200,filet mignon,1
201,sangria,3
202,sake menu,1
203,beef cubes,2
204,portions,26
205,traffic noise,1
206,ambience,27
207,dinner meeting,1
208,cantonese,1
209,cooking,1
210,prix fixe menu,1
211,quality,39
212,eggs benedict,1
213,hollondaise sauce,1
214,brunch,7
215,oatmeal,1
216,chilean sea bass,1
217,onion soup,1
218,dim sum,12
219,roll,2
220,rice,16
221,gin and tonic,1
222,tonic,1
223,little dishes,1
224,thai,4
225,grilled chicken special with e,1
226,roast duck,1
227,pork,2
228,chicken on rice with ginger,1
229,portion,7
230,roti rolls,1
231,tip,6
232,meat,3
233,hot dogs,3
234,noise level,2
235,personal pans,1
236,spicy fried clam rolls,1
237,spider rolls,1
238,food quality,3
239,man,1
240,cheesecake,2
241,employees,4
242,containers for condiments,1
243,containers,1
244,manager,12
245,decor,27
246,salmon dish,2
247,flavor,9
248,tuna melt,1
249,tuna sandwich,1
250,chicken tikka,1
251,naan,3
252,dals,1
253,bill,15
254,lawns,1
255,ravioli,1
256,price tag,3
257,appetizers,14
258,mozzarella,1
259,pie,2
260,main dining room,1
261,ceiling,3
262,menu selections,2
263,establishment,2
264,seafood dishes,1
265,grapes,1
266,waiter,26
267,burger,4
268,pastas,4
269,staples,1
270,seating,7
271,wait,22
272,seafood,10
273,salmon,5
274,beverages,1
275,asian appetizers,1
276,view,6
277,value,16
278,attitude,1
279,striped bass,1
280,corriander,1
281,black white shakes,1
282,chu chu curry,1
283,pad thai chicken,1
284,prix fixe,2
285,pastrami,3
286,bagel with lox spread,1
287,bagles,1
288,quality of food,5
289,lobby area,1
290,seated,5
291,proprietor,1
292,lunch meetings,1
293,food s presentation,1
294,waitstaff,9
295,swordfish,1
296,management,5
297,desserts,9
298,italian food,4
299,moules,1
300,lobster ravioli,1
301,eat,1
302,wines,5
303,pastrami or corned beef,1
304,rye bread,1
305,glasses of champagne,1
306,after dinner drinks,1
307,seasoning,3
308,owners,6
309,people,10
310,main dishes,2
311,location,6
312,stuff,4
313,eats,4
314,gourmet food,1
315,bruschetta,2
316,panini,2
317,fried mini buns with the conde,1
318,starter,1
319,take  out pizza,1
320,green curry with vegetables,1
321,door,2
322,priced,20
323,portioins,1
324,lunch specials,2
325,pizzas,3
326,pot  stickers,1
327,tempura dish,1
328,entree range,1
329,deliveries,2
330,smoked salmon and roe appetize,1
331,garlic shrimp,1
332,lamb,2
333,okra  bindi ,1
334,steak,9
335,escargot,1
336,casual dinner,1
337,chicken tikka marsala,1
338,styles of pizza,1
339,look,10
340,coconut rice,1
341,appetizer,12
342,beers on tap,1
343,bottle minimun,1
344,spot,9
345,chicken,8
346,vegetables,4
347,appetizing,1
348,bun,1
349,fusion of french and indian co,1
350,turnip cake,1
351,roast pork buns,1
352,egg custards,1
353,seating in the garden,1
354,food options,1
355,cost,15
356,pre  theatre 3course dinner,1
357,wine flight,1
358,calzones,1
359,drink,10
360,bar scene,2
361,beverage selections,1
362,secret back room,1
363,gulab jamun,1
364,diner,2
365,room,5
366,pig feet ginger simmered in bl,1
367,desserts with frog jelly,1
368,thai cuisine,3
369,crew,2
370,host,3
371,round tables,1
372,taiwanese,1
373,french fries,1
374,regular menu  fare,1
375,fresh tomato sauce,1
376,fresh mozz cheese,1
377,basil,1
378,dough,1
379,flour,1
380,paneer roll,1
381,plates,2
382,fresh mozzerella slices,1
383,plain cheese slice,1
384,filet mignon with garlic mash,1
385,roasted tomato soup with chevr,1
386,steak frites,1
387,bread,8
388,margarite pizza with cold pros,1
389,salad,4
390,peter s favourite pizza with p,1
391,bruschettas,1
392,paninis,1
393,tramezzinis,1
394,diners,2
395,pre  theater prix  fixe,1
396,fried chicken,1
397,pork chop,1
398,noodle dishes,2
399,privacy,1
400,corner booth table,1
401,open faced cheese sandwich,1
402,breads,1
403,squid,2
404,half  price saturday night opt,1
405,homemade pasta,1
406,value ofr money,1
407,soup,4
408,mushrooms,1
409,beginning appetizers,1
410,scallops,3
411,chocolate souffle with rasberr,1
412,japanese tapas,1
413,seaweed,1
414,lamb sausages,1
415,sardines with biscuits,1
416,large whole shrimp,1
417,pistachio ice cream,1
418,fresh tomatoes,1
419,sauce on the pizza,1
420,outdoor seating,4
421,mesclun,1
422,ice cream,1
423,bistro fare,2
424,chilaquiles,1
425,jazz brunch,1
426,live jazz,2
427,measures of liquers,1
428,table service,1
429,pork belly,1
430,fat,1
431,lamb chop,1
432,lemon,1
433,extra virgnin olive oil,1
434,pastrami sandwich,2
435,beer,8
436,truffle oil,1
437,wild mushroomthird generation ,1
438,omelletes,1
439,sushi fix,1
440,reservation sigh,1
441,food art,1
442,outdoor atmosphere,1
443,toppings,5
444,bills,1
445,scallion pancakes,1
446,fried dumplings,3
447,pasta,6
448,dumpling,2
449,fondue appetizer,1
450,spice,2
451,octopus salad,1
452,msg cooking,1
453,tom kha soup,1
454,bombay beer,1
455,dining hall,1
456,semi  private boths,1
457,office lunch,1
458,sweet lassi,1
459,lamb chettinad,1
460,garlic naan,2
461,rasamalai,1
462,lambchops,1
463,spicy tuna,1
464,hosts,1
465,quality value,1
466,meat dishes,2
467,vegetarian  friendly choices,1
468,amuse bouche,1
469,crunchy tuna,1
470,live entertainment,1
471,special effects,1
472,fountain drinks,1
473,steak tartare,1
474,crab croquette apt,1
475,house wine,1
476,dim sum servings,1
477,glass front,1
478,barbecued codfish,1
479,texture,1
480,spice rub,1
481,herb mix,1
482,sauce,10
483,dance floor,1
484,platter,1
485,in sandwiches,1
486,frying,1
487,bacos,1
488,american chinese food,1
489,beef carpaachio,1
490,kalbi,1
491,nebbiolo,1
492,located,1
493,clubhouse,1
494,trays of dim sum,1
495,bartenders,1
496,cheff,1
497,price range,3
498,svc,1
499,whole grilled fish,1
500,tuna tartare,1
501,mushroom ravioli,1
502,pinot noir,1
503,chocolate sampler,2
504,dessert wine,2
505,lines,1
506,crowds,1
507,shows,5
508,characters,1
509,indian cuisine,1
510,pasta dish,1
511,main course,5
512,neighborhood,1
513,hosting staff,1
514,apetizers,1
515,noodle and rices dishes,1
516,fried clams,1
517,sauces,3
518,lunch menu,1
519,entree,8
520,cooked,1
521,champagne,2
522,caviar,3
523,shrimp scampi,1
524,antipasti,1
525,dim sum combo,1
526,martini,2
527,roast chicken,1
528,insde table,1
529,chicken vindaloo,1
530,spicy food,1
531,bar food,1
532,hand  crafted beers,1
533,capex,1
534,back garden,2
535,nigiri,1
536,architecture,1
537,mushroom pizza,1
538,cod with paella,1
539,fish and chips,2
540,serving,3
541,fries,4
542,porcini mushroom pasta special,1
543,seafood tagliatelle,1
544,spicy wontons,1
545,salt pepper shrimps,1
546,food portions,2
547,bar service,1
548,taiwanese food,1
549,homemade lasagna,1
550,dessert menu,1
551,in  house lady dj,1
552,buns,1
553,beef noodle soup,1
554,delivery service,2
555,flavors,4
556,herbs,1
557,tomatoes,1
558,shredded cheese,2
559,root vegetables,1
560,mushroom consomme,1
561,shabu  shabu dinner,1
562,beef,6
563,comfort,1
564,meals,3
565,pho,2
566,vegtables,1
567,presentaion,1
568,choice,1
569,oil,3
570,wait  staff,1
571,sea urchin,2
572,bruscetta,1
573,mix of greens,1
574,iceberg,1
575,general tao chicken,1
576,shrimp appetizers,1
577,cold appetizer dishes,1
578,parmesean porcini souffle,1
579,lamb glazed with balsamic vine,1
580, gourmet  indian cuisine,1
581,pub,1
582,corned beef sandwich,1
583,amount,1
584,olive cream cheese,1
585,lox spread,1
586,rice to fish ration,1
587,selecion of wines,1
588,godmother pizza,1
589,crab cocktail,1
590,lime juice concoction,1
591,lime,1
592,corned beef,2
593,chicken pad tai,1
594,dumplings,6
595,crowd,2
596,turkey burger,1
597,margheritta,1
598,eel,1
599,lox,2
600,cod,1
601,trout,1
602,crispy chicken,1
603,meatballs,1
604,caprese salad,1
605,beans on toast,1
606,lobby,1
607,tapas,1
608,pita bread,1
609,waitresses,3
610,variety,1
611,seat,5
612,sandwiches,4
613,serves,2
614,front doors,1
615,back garden sitting area,1
616,personal herb garden,1
617,pastrami sandwiches,1
618,mexican food,1
619,glass of water,1
620,live music,1
621,jazz nights,1
622,lemon salad,1
623,pepper,2
624,lad nar,1
625,places,1
626,front door,1
627,guizhou chicken,2
628,fish with hot bean source,1
629,fish fillet in spicy source,1
630,special menu,1
631,open kitchen,1
632,bhelpuri,1
633,sevpuri,1
634,samosa chaats,1
635,indian appetizers,1
636,bombay style chaat,1
637,singapore mai fun,1
638,curry flavor,1
639,dinner location,1
640,indian restaurant food,1
641,at moshphere,1
642,tips,1
643,sushi places,1
644,round of drinks,1
645,toaster,2
646,menu choices,1
647,main courses,1
648,exotic food,1
649,mediterranean salad,1
650,cream cheeses,2
651,coffee,2
652,beef version,1
653,club soda  filled with ice  no,1
654,house varities,1
655,pudding dessert,1
656,vegetable samosa,1
657,malai tikka wrap,1
658,goat cheese,2
659,panchetta,1
660,raddichio,1
661,kinds of beer,1
662,turnip soup with pureed basil,1
663,thai spiced curry noodles with,1
664,nightcap,1
665,food suggestions,1
666,sommelier,1
667,fromager,1
668,japanese food,2
669,price category,1
670,entertainment,2
671,seved,1
672,signs,1
673,specials menus,1
674,scallop roll,1
675,sesame chicken,1
676,nori  wrapped tuna,1
677,fast food,2
678,all you can eat deal,1
679,meat patties in steamed buns,1
680,dining room,1
681,variety of dishes,1
682,white bean brushetta,1
683,lay out,1
684,cart attendant,1
685,lotus leaf wrapped rice,1
686,feel,5
687,interior,1
688,sashimi plate,1
689,servants,1
690,noise,4
691,chicken dish,1
692,prix fixe lunch,1
693,buffet,2
694,hot bagel,1
695,pepper powder,1
696,glass of sangria,1
697,table by the window,1
698,jalapeno,1
699,pad see ew,2
700,back patio,1
701,guacamoleshrimp appetizer,1
702,filet,1
703,frites,2
704,lunch special,2
705,the chicken pot pie,1
706,cheeseburger,1
707,spicy ethnic foods,1
708,snacking,1
709,seasonal beer,1
710,course,2
711,cook,1
712,yellowtail,1
713,clams oreganta,1
714,salad with perfectly marinated,1
715,lentil dish,1
716,basmati rice dish,1
717,cigar bar,1
718,ambient,1
719,cheescake,1
720,entertaining,1
721,fluke sashimi,1
722,jalapeno  lime olive oil,1
723,fruit of the oil,1
724,steak au poivre,2
725,congee,2
726,donut like deep fried dough th,1
727,candle  light,1
728,food  quality,1
729,ethnic food,1
730,ac,1
731,cooks,1
732,sushi rolls,1
733,dinner menu to sit,1
734,take out,1
735,scallion pancake,1
736,vegetable juice,1
737,shredded squid family style,1
738,sichuan spicy soft shell crab,1
739,shuizhu fish,1
740,sichuan food,1
741,spinach mushroom calzone,1
742,canned vegetables,1
743,blue point oysters,1
744,green curry dish,1
745,atmoshere,2
746,spicy tuna roll,2
747,rock shrimp tempura,1
748,white chocolate bread pudding ,1
749,banana tower,1
750,icing on the cake,1
751,french cuisine,1
752,vegetarian entree,1
753,abby s treasure,1
754,wintermelon,1
755,assortment of fresh mushrooms ,1
756,onglet,1
757,reputation,1
758,spinach and corn dumplings,1
759,bathroom,2
760,massamman curry,1
761,chow fun and chow see,1
762,pita,2
763,oysters,3
764,grilled cheese,1
765,doors,1
766,good,1
767,terrace,1
768,japanese cuisine,1
769,jazz bands,1
770,halibut special,1
771,japanese comfort food,1
772,half price sushi deal,1
773,appetizer platter,1
774,dress codes,1
775,attitudes,1
776,pieces of sushi,1
777,jewish deli food,1
778,neapolitan pizza,1
779,zucchini blossoms,1
780,slice,2
781,vietnamese classics,1
782,wait time,2
783,fish tanks,2
784,noodle soup dishes,1
785,spaghetti with scallops and sh,1
786,spinach ravioli in a light oil,1
787,chicken teriyaki dish,1
788,pam s special fried fish,1
789,new england chowder,1
790,lobster bisque,2
791,wines by the glass,2
792,duck breast special,1
793,french indian fusion,1
794,fried shrimp,1
795,cheese fondue,2
796,green curry,1
797,currys  masaman  green  red ,1
798,gigondas,1
799,house champagne,1
800,yellowfun tuna,1
801,mussel selection,1
802,scenery,1
803,dinner reservations,1
804,cheese plate,1
805,glasses of water,1
806,godmother pizza  a sort of tra,1
807,sandwich,2
808,plastic forks,1
809,hummus platter,1
810,cocktails,2
811,apple tarte tatin,1
812,selection,2
813,chocolate,1
814,actors,2
815,new york bagel,1
816,miso soup,1
817,filets,1
818,quail,1
819,zucchini,1
820,mashed potatoes,1
821,butter,3
822,spicy scallop roll,1
823,indian dining experience,1
824,pub atmosphere,1
825,workers,2
826,mixed drinks,1
827,snack foods,1
828,chocolate mud cake  warmed ,1
829,dulce de leche gelato,1
830,stauff,1
831,classical furniture,1
832,cole slaw,1
833,knish,1
834,blond wood decor,1
835,eggs,2
836,chicken tikka  masala,1
837,menu description,1
838,pad se  ew,1
839,chicken with cashew nuts,1
840,french bistro fare,1
841,shabu  shabu,1
842,people with carts of food,1
843,crackling calamari salad,1
844,sushi place,1
845,group dinner,1
846,thai ice tea,1
847,guy,2
848,roofdeck,1
849,sesame crusted salmon,1
850,chicken with chili and lemon g,1
851,lamb chops,1
852,chicken tikka masala,1
853,plain slice,1
854,takeout,2
855,live jazz band,1
856,lobster cobb salad,1
857,tea room,1
858,apppetizers,1
859,chips,1
860,side,1
861,dim sum atmosphere,1
862,selection of wine,1
863,tamarind duck,1
864,noodles with ground beef,1
865,thai flavors,1
866,black cod with yuzu sauce,1
867,sicilian,1
868,downstairs lounge,1
869,menu prices,1
870,portion size,2
871,busboy,2
872,water and wine glasses,1
873,prix fixe meal,1
874,night scene,1
875,expresso,1
876,hot sauce,1
877,thai popcorn,1
878,parathas,1
879,kebabs,1
880,tuna,5
881,wasabe potatoes,1
882,coat check girls,1
883,cannoli,1
884,after dinner drink,1
885,prix fixe pricing,1
886,area,2
887,tanks,1
888,halibut,1
889,cream cheese,2
890,chicken casserole,1
891,mezzanine,1
892,valentines day dinner,1
893,jelly fish,1
894,drunken chicken,1
895,soupy dumplings,1
896,stir fry blue crab,1
897,dumpling menu,1
898,aesthetics,2
899,box wine,1
900,sushi chef,2
901,atmoshpere,1
902,sashimi,3
903,italian cheese,1
904,thin  crust pizza,1
905,shrimp appetizer,1
906,lamb vindaloo,1
907,dinners,2
908,spices,1
909,onions,1
910,roti,1
911,potato pancakes,1
912,fried dumpling,1
913,primi,1
914,secondi,1
915,dining area,1
916,crab cakes,1
917,sichuan chef,1
918,nori,1
919,patio,1
920,white wine,1
921,private room,1
922,aisle,1
923,pre  fixe menu,1
924,choices per course,1
925,ordering a la carte,1
926,pakistani food,1
927,eggplant parmesan,2
928,baked ziti with meatsauce,1
929,hot pot with seafood,1
930,shrimp,1
931,crabmeat,1
932,kielbasa,1
933,apples,1
934,curry,1
935,white sauce,1
936,paratha bread,1
937,stuffing,1
938,tandoori,1
939,delivery time,1
940,thai noodles with shrimp and c,1
941,portion sizes,2
942,kosher dills,1
943,kamikaze,1
944,mayonaisse,1
945,food runners,1
946,braised lamb shank in red wine,1
947,special,1
948,iced tea,1
949,servings,1
950,lettuce,2
951,obv caviar,1
952,dining experiences,1
953,santa fe chopped salad,1
954,tuna roll,1
955,comfort food,2
956,technique,1
957,atomosphere,2
958,indian fast food,1
959,main entree,1
960,cold udon,1
961,snapple,1
962,apps,3
963,dosas,1
964,popcorn topping,1
965,scene,1
966,customers,1
967,ladies,1
968,people serving,1
969,fillings,1
970,dosa batter,1
971,pre  theatre or after  theatre,1
972,mussaman curry,1
973,fried tofu,1
974,potato,1
975,gnochi,2
976,lunch buffet,3
977,serve,1
978,cokes,1
979,drumsticks over rice,1
980,sour spicy soup,1
981,whitefish salad,1
982,whitefish,1
983,mayo,1
984,chicken parm,1
985,chicken with portobello mushro,1
986,tomato sauce,1
987,counter service,2
988,staff member,1
989,upstairs,1
990,red curry,1
991,saul,1
992,pad penang,1
993,walls,1
994,hanger steak,1
995,lunch food,1
996,quasi  thai,1
997,barebecued salmon,1
998,chai tea,1
999,spicy tuna hand rolls,1
1000,brassiere food,1
1001,prix fix,1
1002,thali,1
1003,chef app,1
1004,delicate butternut squash ravi,1
1005,buttery and tender langostine ,1
1006,cakebread cabernet,1
1007,pastries,1
1008,makhani,1
1009,korma,1
1010,foie gras terrine with figs,1
1011,duck confit,1
1012,gulab jamun  dessert ,1
1013,freshness,2
1014,brioche and lollies,1
1015,2person table,1
1016,mussels in spicy tomato sauce,1
1017,case of snapple,1
1018,lamb dishes,1
1019,care,1
1020,dimsum,1
1021,sushimi cucumber roll,1
1022,salt,1
1023,potato chips,1
1024,pasta entrees,1
1025,customer service,5
1026,oyster,1
1027,maitre d ,1
1028,ala carte,1
1029,pork chops,1
1030,tofu plates,1
1031,steak with portobello mushroom,1
1032,surroundings,2
1033,dinner menu,1
1034,rush,1
1035,duck noodles,1
1036,martinis,1
1037,avocado,1
1038,drink refills,1
1039,business dinner,1
1040,lobster tails,1
1041,espresso cup filled with choco,1
1042,lemon grass chicken,1
1043,beef cube on rice,1
1044,portraits,1
1045,appitizers,1
1046,curry sauce,1
1047,deli,1
1048,pork buns,1
1049,maine lobster,1
1050,ingrediants,1
1051,backyard dining area,1
1052,chocolate cake,1
1053,vanilla gelato  with espresso ,1
1054,dining rooms,1
1055,tiramisu chocolate cake,1
1056,decore,1
1057,cater,1
1058,mango chicken,1
1059,presentation,1
1060,garlic mashed potatoes,1
1061,lamb meat,1
1062,red wine,1
1063,hot tea,1
1064,outside,1
1065,lassi,1
1066,taxan,1
1067,southern indian cuisine,1
1068,staffs,1
1069,jukebox,1
1070,margarita,1
1071,sake list,1
1072,purple haze,1
1073,japanese classic cuisine,1
1074,spinach,1
1075,shanghai low mein,1
1076,dim sum orders,1
1077,wine menu,1
1078,horedevous,1
1079,hong  kong styled milk,1
1080,tea with tapioca pearls  hot ,1
1081,assortment of fish,1
1082,fatty yellow tail,1
1083,boton shrimp,1
1084,sea eel,1
1085,blue fin torro  fatty tuna ,1
1086,waterbugs,1
1087,veal in carozza chicken saltim,1
1088,chutneys,1
1089,mixed drink special,1
1090,waiting area,1
1091,bbq ribs,1
1092,argentinian pizza,1
1093,pelligrino,1
1094,blue cheese,1
1095,kamasutra,1
1096,bombay cosmopolitan,1
1097,date spot,1
1098,botle of wine,1
1099,steak dish,1
1100,food spot,1
1101,somosas,1
1102,chai,1
1103,chole,1
1104,dhosas,1
1105,dhal,1
1106,palak paneer,1
1107,malai kofta,1
1108,spring rolls,2
