,labels,frequency
1109,cod with pineapple tempura,1
1110,bottle,1
1111,topping,1
1112,qualities,1
1113,dress cod,1
1114,candles,1
1115,surrounding,1
1116,pictures,2
1117,reuben sandwich,1
1118,strawberry daiquiries,1
1119,wait service,1
1120,zen feel,1
1121,egg noodles in the beef broth ,1
1122,rice congee soup,1
1123,summer rolls,2
1124,indoor,1
1125,mimosas,1
1126,cafe,1
1127,outdoor chairs,1
1128,walnuts,1
1129,tom yum soup,1
1130,tuscan cuisine,1
1131,neapolitan fare,1
1132,lobster teriyaki,1
1133,rose special roll,1
1134,glass of beer,1
1135,service staff,1
1136,delivery guys,1
1137,tamarind margaritas,1
1138,filet mignon dish,1
1139,pastrami on challah sandwich,1
1140,knishes,1
1141,mahi mahi  on saffron risotto,1
1142,go go hamburgers,1
1143,sandwhiches,1
1144,thia food,1
1145,bars,1
1146,pre  theatre menu,1
1147,stomach,1
1148,wallet,1
1149,line,1
1150,dinner specials,1
1151,fondue,1
1152,table grilling,1
1153,exotic salad,1
1154,green salad,1
1155,sweet basil fried tofu,1
1156,peanut sauce,1
1157,toasting,1
1158,garden,1
1159,lamb sandwhich,1
1160,dim sum dish,1
1161,traditional french decour,1
1162,hall,1
1163,wasabi,1
1164,sea salt,1
1165,burgers,1
1166,cheeseburgers,1
1167,unda  egg  rolls,1
1168,wine choices,1
1169,jazz,1
1170,lazy susans,1
1171,pork loin,1
1172,discount,1
1173,edamame pureed,1
1174,vegetarian dishes,1
1175,non  veg selections,1
1176,shrimp fritters,1
1177,spot lights,1
1178,times square cocktail,1
1179,ginger lemonade with vodka,1
1180,veal parmigana,1
1181,air conditioning,1
1182,sichuan cooking,1
1183,chongqing hotpot,1
1184,waiter traffic,1
1185,dinner plates,1
1186,sake collection,1
1187,nanbu bijin,1
1188,chicken in curry sauc,1
1189,salmon caserole,1
1190,angry lobster,1
1191,cold lobster salad,1
1192,crab  cake eggs benedict,1
1193,bathrooms,1
1194,chicken with garlic sauce,1
1195,chicken with black bean sauce,1
1196,hunan chicken,1
1197,take  out pies,1
1198,bannan fritter,1
1199,mascarpone with chocolate chip,1
1200,caprese salad appetizer,1
1201,half  price saturday night spe,1
1202,basic dishes,1
1203,nosh  pastrami sandwich ,1
1204,christmas dinner,1
1205,dinosaur rolls,1
1206,white tuna sashimi,1
1207,gnocchi,1
1208,bottle of sake,1
1209,edamames,1
1210,sushi plate,1
1211,cheese sticks,1
1212,pot of boiling water,1
1213,glass noodles,1
1214,service center,4
1215, sales  team,1
1216,tech guy,1
1217,gui,2
1218,applications,18
1219,use,53
1220,start up,2
1221,features,35
1222,ichat,1
1223,photobooth,2
1224,garage band,1
1225,screen,60
1226,power light,1
1227,hard drive light,1
1228,battery,45
1229,rubber enclosure,1
1230,edge,2
1231,multi  touch gestures,1
1232,tracking area,1
1233,external mouse,3
1234,gaming,13
1235,suite of software,1
1236,speed,21
1237,windows 7,14
1238,usb devices,1
1239,keyboard,50
1240,software,32
1241,system,14
1242,microsoft office for the mac,1
1243,syncing,1
1244,30  hd monitor,1
1245,boot up,6
1246,operating system,11
1247,preloaded software,2
1248,clock in bios setup,1
1249,warranty service,1
1250,brand,2
1251,warranty,30
1252,fan,8
1253,customer service number,1
1254,talking to a technician,1
1255,hard disc,2
1256,windows,29
1257,drivers,6
1258,bios update,1
1259,hp technical support,1
1260,browser,3
1261,virus scan,1
1262,9 punds,1
1263,program,11
1264,warrenty,11
1265,toshiba warranty,1
1266,webcam,7
1267,internet,6
1268,managing personal files,1
1269,motherboard,14
1270,charger,4
1271,hardware,8
1272,force quit,1
1273,works,13
1274,vmware program,1
1275,runs,17
1276,navigate,5
1277,find files,1
1278,extended warranty,9
1279,memory,18
1280,performace,1
1281,opening my documents folder,1
1282,operating systems,2
1283,glass touchpad,1
1284,hard drive,30
1285,mother board,4
1286,external speaker,1
1287,sound,6
1288,shipping,9
1289,mac software,2
1290,microsoft software,1
1291,delete   key,1
1292,editing,1
1293,phone assistance,1
1294,genius bar,1
1295,movie playing,1
1296,web browsing,4
1297,word editing,1
1298,recovery discs,2
1299,office max s  max assurance ,1
1300,imac backup disc,1
1301,usb,2
1302,battery timer,1
1303,temperatures,1
1304,core processing unit temperatu,1
1305,virus protection for mac,1
1306,bluetooth,5
1307,lg notebook service center,1
1308,hinge,5
1309,games,9
1310,responds,1
1311,representive at microsoft,1
1312,xp,2
1313,vista,11
1314,dell s customer disservice,1
1315,cooling system,3
1316,quad core i7,1
1317,sales associate,1
1318,windows applications,1
1319,virus program,1
1320,weighed,1
1321,seven pounds,1
1322,bag,1
1323,color,2
1324,keys,12
1325,designed,2
1326,style,1
1327,mousepad,5
1328,sales,1
1329,dell support,1
1330,construction quality,2
1331,longevity,2
1332,configuration of  extra key ,1
1333,touch pad,5
1334,security,2
1335,pricetag,1
1336,work,9
1337,vga port,1
1338,volume,1
1339,mouse,10
1340,touchpad,9
1341,boots up,3
1342,look and feel standpoint,1
1343,safari,3
1344,mozzilla firfox,1
1345,fingerprint reader driver,1
1346,display,11
1347,performance,23
1348,microsoft office,3
1349,resolution,4
1350,appearance,3
1351,graphics card,3
1352,built  in webcam,2
1353,built  in mic,1
1354,cam,1
1355,mic,3
1356,windows vista,3
1357,board,1
1358,connector,1
1359,power supply,10
1360,ethernet,1
1361,drag and drop feature,1
1362,sales tax,1
1363,software packages,1
1364,iwork,7
1365,garageband,7
1366,imovie,5
1367,colors,3
1368,monitor,4
1369,itunes,7
1370,size,23
1371,external monitor,1
1372,base installation,1
1373,manuf,1
1374,camera,2
1375,amd turin processor,1
1376,intel,1
1377,start menu,1
1378,bluray read  write drive,1
1379,service tech,1
1380,tech store,1
1381,surface,1
1382,ilife,5
1383,snow leopard x,1
1384,mac os,3
1385,sound output quality,1
1386,techie,1
1387,toshiba online help,1
1388,service life,1
1389,ports,2
1390,processor,10
1391,stock screen,1
1392,gray color,1
1393,volume buttons,1
1394,computing,1
1395,protector,1
1396,key pad,1
1397,magnetic plug  in power chargi,1
1398,graphics,17
1399,support,4
1400,geek squad,1
1401,graphics quality,1
1402,appleworks,2
1403,paint,2
1404,service department,1
1405,warrentys,1
1406,hard disk,3
1407,cd drive,6
1408,running,2
1409,screen size,7
1410,loads,3
1411,trackpad,6
1412,human interface,1
1413,inbuilt applications,1
1414,body,1
1415,i5,1
1416,antivirus software,2
1417,firewall,1
1418,apple team,1
1419,video chat,1
1420,cooling pad,2
1421,feature,7
1422,installation time,1
1423,power,8
1424,storage,3
1425,abilitiy,1
1426,spotlight search,1
1427,wireless system,1
1428,os,9
1429,apple support,1
1430,techs,2
1431,adding the bluetooth,1
1432,graphic power,1
1433,adobe creative apps,1
1434,programs,36
1435,materials,1
1436,tech support,7
1437,windows xp sp2,1
1438,windows 7 ultimate,2
1439,fingerprint reader,1
1440,techs at hp,1
1441,video card,3
1442,audio,1
1443,set up,4
1444,word processing,3
1445,spec,1
1446,hd,3
1447,graphics chip,1
1448,components,3
1449,dvd burner,4
1450,usb ports,5
1451,ran,2
1452,operation,4
1453,ground loop isolator,1
1454,leading edge,1
1455,bloatware,1
1456,maximum sound,1
1457,bootcamp,2
1458,action pack games,1
1459,twin packing,2
1460,functions,4
1461,after sales support,1
1462,display screen,1
1463,acer arcade,1
1464,customer support,4
1465,life,1
1466,pad,2
1467,system performance,1
1468,linux based os,1
1469,batteries,3
1470,shipping carton,1
1471,virus protection,2
1472,osx 16,1
1473,intel core processors,1
1474,hdmi port,2
1475,internet explorer,2
1476,price premium,1
1477,product and help aftermarket,1
1478,microsoft word,1
1479,sd memory card reader,1
1480,sd memory car expansion,1
1481,lacie 2big external drive,1
1482,firewire 800 interface,1
1483,time machine,1
1484,extra features,1
1485,windows 7 home premium,3
1486,acer screen,1
1487,usb port,1
1488,boot,2
1489,fires up,1
1490,online tutorial videos,1
1491,image,1
1492,soud,1
1493,shut down,2
1494,windows 7 starter,7
1495,windows 7 professional,1
1496,specifications,3
1497,power cords,1
1498,multi  touch features,1
1499,clicking buttons,1
1500,wired lan,1
1501,hard reboot,1
1502,apple care,2
1503,font,1
1504,run,4
1505,plastic  pieces,1
1506,2 gb ram stick,1
1507,microsoft word for mac,1
1508,warranty company,1
1509,cusromer service center,1
1510,weight,8
1511,aluminum body,1
1512,watching movies,2
1513,playing,1
1514,build quality,2
1515,dock,1
1516,working,1
1517,costing,2
1518,i7,1
1519,driver,2
1520,bios,5
1521,tech issues,1
1522,internet speed,2
1523,photo booth,2
1524,iphoto,9
1525,video  editing,1
1526,movie  making,1
1527,photo management,1
1528,pages,4
1529,numbers,2
1530,keynote,3
1531,school or office use,1
1532,web cam,2
1533,burn cd s,1
1534,17 inch screen,1
1535,drivers  applications dvd,2
1536,launch manager,1
1537,glass screen,1
1538,switchable graphic card,1
1539,technical support,1
1540,boot mgr,1
1541,recovery cd,1
1542,skype,2
1543,mouse buttons,1
1544,hdd,1
1545,rails,1
1546,home use,1
1547,business use,1
1548,updates,2
1549,ms office apps,1
1550,nortons virus scan,1
1551,frame,1
1552,loaded,1
1553,windows xp,3
1554,key broad,1
1555,repair  depot ,1
1556,school use,1
1557,wireless,2
1558,navigating,1
1559,speakers,13
1560,subwoofer,2
1561,built in camera,2
1562,left mouse key,1
1563,costed,1
1564,hard drive space,2
1565,picture,2
1566,extended warranties,2
1567,technical service for dell,1
1568,case,4
1569,photoshop,3
1570,system clock,1
1571,ram,8
1572,securitysoftware,1
1573,driver updates,1
1574,15 inch,1
1575,product support,1
1576,casing of the power cord,1
1577,internet signals,1
1578,right speaker,2
1579,multiple page viewer,1
1580,shipped,3
1581,recovery disk,2
1582,office,3
1583,office programs,1
1584,wifi,2
1585,typing,1
1586,temp,1
1587,windows operating system,1
1588,processor speed,1
1589,thunderbolt port,1
1590,lcd screen,1
1591,images,1
1592,adobe flash player,1
1593,internet explore,1
1594,windows update,2
1595,update,1
1596,switch,1
1597,4 gb stick of ram,1
1598,hardrive,2
1599,touch control buttons,1
1600,ilife software,2
1601,iweb,1
1602,system board,1
1603,navigation,2
1604,lcd,2
1605,dell customer service,1
1606,rma service,1
1607,screen  video resolution,1
1608,dreamweaver,1
1609,final cut pro 7,1
1610,firefox,3
1611,msn messenger,1
1612,apple applications,2
1613,gigs,1
1614,17inch screen,1
1615,dvd,1
1616,cd burners,1
1617,uploading photos,1
1618,creating presentations,1
1619,quality display,2
1620,12 cell battery,1
1621,power adapter plug,1
1622,tab,1
1623,extended warrenty,1
1624,tft panel,1
1625,windows operating systems,1
1626,bulk,1
1627,music software,1
1628,video,2
1629,combined touch pad and clicker,1
1630,unibody construction,1
1631,screen hinges,1
1632,storage life,1
1633,nvidia chipset,1
1634,charge time,1
1635,consistancy,1
1636,key bindings,1
1637,10key,1
1638,500 gb hard drive,1
1639,usb output,1
1640,wireless mouse,1
1641,linux,2
1642,windows disc,1
1643,disk throughput,1
1644,spinning beachball,1
1645,wireless internet access,1
1646,company,2
1647,screen resolutions,1
1648,carry,8
1649,edges,5
1650,iphotos,2
1651,built,4
1652,screen resolution,1
1653,snow leopard,1
1654,cpu,2
1655,office mac applications,1
1656,word,4
1657,excel,1
1658,spinning wheel,1
1659,184  screen,1
1660,regular layout keyboard,1
1661,3 year warranty,2
1662,online chat service,1
1663,vhs,1
1664,mac version of microsoft offic,1
1665,starting  up time,1
1666,operates,1
1667,transporting,1
1668,network capability,1
1669,wifi card,1
1670,printer,1
1671,os x,3
1672,repair service,1
1673,customer service agents,1
1674,aftereffects programs,1
1675,dependability,1
1676,mouse button,1
1677,buttons,5
1678,load,1
1679,webpages,1
1680,openoffice,1
1681,product key,1
1682,specs,5
1683,one touch keys,1
1684,stability,1
1685,sata controller,2
1686,video editing,1
1687,mobile video editing,1
1688,imovie program,1
1689,bluetooth mouse,2
1690,control buttons,1
1691,patches,1
1692,system memory,1
1693,radeon 5850,1
1694,ddr5,1
1695,ddr3,1
1696,os  vista ,1
1697,pop up windows,1
1698,web programming software,1
1699,pop ups,1
1700,3 g network,1
1701,web access,1
1702,design based programs,1
1703,adobe creative suite,1
1704,companies,1
1705,plug,2
1706,hdd cover,1
1707,spy ware,1
1708,nortell,1
1709,videocard,2
1710,pixel sizes,1
1711,pre installed software update,1
1712,customer services,1
1713,toshiba customer services,2
1714,space bar,1
1715,performing,1
1716,booting,1
1717,imail,1
1718,transport,1
1719,repair depot,3
1720,hard disk capacity,1
1721,gaming look,1
1722,gaming performance,1
1723,volume control,1
1724,internet connectivity,1
1725,usb wireless card,1
1726,discharges,1
1727,compatibility,1
1728,charging,2
1729,stand,1
1730,heat sink,1
1731,trend micro,1
1732,antiviral program,1
1733,plastic piece,1
1734,usb port wires,1
1735,case design,1
1736,connection,1
1737,pricing,1
1738,built  in wireless,1
1739,processing power,2
1740,install,1
1741,uninstall ,1
1742,iworks,1
1743,ms office,3
1744,application,1
1745,boot camp,1
1746,applecare,1
1747,cad programs,1
1748,tutorials,2
1749,mouse pad,3
1750,right click key,1
1751,full charge,1
1752,cordless mouse,1
1753,toshiba tech support,1
1754,charged,2
1755,online chat,1
1756,speaker grill,2
1757,full service,1
1758,letter a,1
1759,after sales service,1
1760,recovey disk,1
1761,capacity,1
1762,build,2
1763,portability,6
1764,warranty service to toshiba,1
1765,screens,1
1766,downloads,1
1767,led backlit display,1
1768,connect quality,1
1769,headphone,1
1770,mic jack,1
1771,touch  pad,1
1772,headphones,2
1773,connection with the internet,1
1774,booting up,2
1775,shutting down,1
1776,osx,2
1777,dashboard,1
1778,return policy,1
1779,affordability,1
1780,hook to my wireless network,1
1781,aluminum style,1
1782,nvidia 9800,1
1783,arm piece,1
1784,1year  warranty,1
1785,word processer,1
1786,performance specs,1
1787,quality control,1
1788,touch  mouse,1
1789,numeric pad,1
1790,cover for the dvd drive,1
1791,arm velcro,1
1792,2 gb of ram,1
1793,versitility,1
1794,hinge design,1
1795,browsers,1
1796,screen graphics,1
1797,clarity,1
1798,sharpness,1
1799,safety feature,1
1800,unibody design,1
1801,one  year warranty,1
1802,charge,10
1803,services,1
1804,bluetooth 3,1
1805,fan blade,1
1806,internet connection,2
1807,external harddrives,1
1808,functionality,1
1809,simplicity,1
1810,looking,1
1811,mouse keys,1
1812,mute,1
1813,color reproduction,1
1814,sony  certified  technician,1
1815,proprietary software,1
1816,apple care plan,1
1817,video games,1
1818,trial software,1
1819,internet interfaces,1
1820,black keyboard,1
1821,software options,1
1822,functioning,1
1823,port,2
1824,grafics card,1
1825,led backlit screen,1
1826,8 gb ram,1
1827,instructions,1
1828,cursor,2
1829,operate,2
1830,gadgets,1
1831,disk image,1
1832,track pad,1
1833,disc drive,2
1834,drive,3
1835,word processing program,1
1836,usage,1
1837,macosx,1
1838,dual  core,1
1839,quad  core,1
1840,22  monitor,1
1841,default background,1
1842,island backlit keyboard,1
1843,multi  touch mouse,1
1844,spreadsheets,1
1845,presentations,1
1846,built it web cam,1
1847,performed,1
1848,graphics cards,1
1849,bluray player,1
1850,book,1
1851,systems,1
1852,media,1
1853,thermal paste,1
1854,internals,1
1855,facial recognition,1
1856,windows logon,1
1857,online service,1
1858,recovery dvds,2
1859,fans,1
1860,preformed,1
1861,windows os,1
1862,user interface,2
1863,idvd,1
1864,surfing,2
1865,play,1
1866,intel i processors,1
1867,sound quality via usb,1
1868,extended life battery,2
1869,windows xp drivers,1
1870,sound card,2
1871,budget,3
1872,google chrome,1
1873,art aspect,1
1874,pre  loaded norton firewall  s,1
1875,usb connect,1
1876,expense,2
1877,multi  touch trackpad,1
1878,apple keyboard,1
1879,pc s keyboard,1
1880,power cord,1
1881,techies,1
1882,sony sonic stage software,1
1883,docking port,1
1884,bluetooth enabled,1
1885,powerpoint program,1
1886,customer service rep,1
1887,genius bar staff,1
1888,non  dedicated graphics card,1
1889,mouse cable,1
1890,ram slots,1
1891,hdd bays,1
1892,16 gb ram support,1
1893,asus tech support,1
1894,mouse on the pad,1
1895,left button,1
1896,built in tools,1
1897,leopard running system,1
1898,lg service center,1
1899,material,1
1900,performs,2
1901,multi  touch track pad,1
1902,hard disk space,1
1903,internal hard disk,1
1904,connects to wifi,1
1905,power adapter,2
1906,mainboard,1
1907,500 gb external hard drive,1
1908,wireless card,1
1909,accessories,1
1910,playing games,1
1911,equipment,1
1912,wt,1
1913,apple navigation,1
1914,hard drives,3
1915,sized,2
1916,desktop keyboard,1
1917,motherboards,1
1918,ac plug,1
1919,peformance,1
1920,flexibility,1
1921,s  video port,1
1922,surfing the web,2
1923,senior tech,1
1924,volume wheel,1
1925,sound quality,1
1926,manual,1
1927,sensitivity,1
1928,core applications,1
1929,hook up to other wireless netw,1
1930,shift key,1
1931,rep,1
1932,standard os cd,1
1933,proprietary hardware drivers,1
1934,programm,1
1935,response,1
1936,internet focused activity,1
1937,charges,1
1938,ibook backup,1
1939,firewire connection,1
1940,keyboard shortcuts,1
1941,shortcuts,1
1942,windows media,1
1943,replacement charger,1
1944,windows system,1
1945,printer software,1
1946,seventeen inch screen,1
1947,technician,1
1948,dc jack,1
1949,power brick,1
1950,screen quality,1
1951,17  inch screen,1
1952,price  point,1
1953,retail price,1
1954,microsoft student edition,1
1955,every day computing,1
1956,led monitor,1
1957,backlit keys,1
1958,safari internet browser,1
1959,support line,1
1960,keyboard function,1
1961,dvd drive,2
1962,microphone,1
1963,security  prone os,1
1964,firewire cable system,1
1965,ibook,1
1966,shipment,1
1967,quicklook,1
1968,browsing,2
1969,built  in camera,1
1970,chrome,1
1971,external dvd drive,1
1972,external drive,1
1973,processing,1
1974,supplied software,1
1975,kernal,1
1976,upgraded memory,1
1977,call center,2
1978,cords,2
1979,starts,1
1980,keynotes,1
1981,key board,1
1982,ease,1
1983,connection card,1
1984,4 gb of ram,1
1985,8 gb of ram,1
1986,game,1
1987,setup,2
1988,internet capabilities,1
1989,high definition quality,1
1990,beast graphics,1
1991,wall charger,1
1992,windows vista system,1
1993,function keys,1
1994,push button,1
1995,lid,1
1996,pentium 4,1
1997,1 gb ram,1
1998,word processor,2
1999,interface device,1
2000,included program,1
2001,expese,1
2002,microsoft office apps,1
2003,internet use,1
2004,aero,1
2005,machined aluminum frame,1
2006,parallels type program,1
2007,ati graphics card,1
2008,intel built  in card,1
2009,handle,2
2010,power supply cord,1
2011,applecare warranty plan,1
2012,13 inch,1
2013,final cut pro,1
2014,mac snow leopard o  s,1
2015,win xp,1
2016,visa,1
2017,win7,1
2018,startup,1
2019,shutdown,1
2020,resume from sleep,1
2021,fit,1
2022,external keyboard,1
2023,windows 7 system,1
2024,wheel,1
2025,flatline keyboard,1
2026,ergonomics,1
2027,connections,1
2028,applecare tech support,1
2029,power plug,1
2030,resolution on the screen,1
2031,ac power port,1
2032,running system,1
2033,force,1
2034,durability,1
2035,vista business,1
2036,surf the web,2
2037,size of the screen,1
2038,tote,1
2039,win 7,1
2040,2 gb stick of memory,1
2041,norton,1
2042,command prompt,1
2043,programming,1
2044,icon list,1
2045,desktop icons,1
2046,picture quality,1
2047,i3 processor,1
2048,casing,2
2049,resolution of the screen,1
2050,screen brightness,1
2051,backlit keyboard,2
2052,motherboard chip,1
2053,windows vista home premium,1
2054,1 gb of ram,1
2055,brightness,1
2056,electronic fuzz sound,1
2057,headphone jack,1
2058,graphics editing,1
2059,complex data analysis,1
2060,costs,1
2061,hardcopy manuel,1
2062,visual,1
2063,mouse command buttons,1
2064,speeds,1
2065,lighted keyboard,1
2066,operation system,1
2067,agents,1
2068,three year warranty,1
2069,nvidia grafics card,1
2070,left  mouse  button,1
2071,type,1
2072,15 ,1
2073,17 ,1
2074,virus protection programs for ,1
2075,hdmi,1
2076,wireless switch,1
2077,technical person,1
2078,driver  application dvd,1
2079,photo detection software,1
2080,mouse pointer,1
2081,engineering design,1
2082,hinges,1
2083,pointer,1
2084,life span,1
2085,looks,2
2086,my toshiba feature,1
2087,layout,1
2088,one of the programs,1
2089,document creation,1
2090,memory stick,1
2091,button below the mouse pad,1
2092,lightscribe,1
2093,photo application,1
2094,17 ince screen,1
2095,warranty period,1
2096,update programs,1
2097,ms applications,1
2098,internet tabs,1
2099,noises,1
2100,bottom of the computer,1
2101,repair technician,1
2102,network connection,1
2103,core2 quad,1
2104,charger unit,1
2105,signals,1
2106,signal,1
2107,win 7 home,1
2108,incase shells,1
2109,repair center,1
2110,keyboard functions,1
2111,service facility,1
2112,using the internet,1
2113,safe mode,1
2114,18inch,1
2115,universal charger,1
2116,powerpoint,1
2117,desktop background,1
2118,window s 7 starter,1
2119,function,1
2120,it support technicians,1
2121,customer service center,1
2122,shaped,1
2123,satellite card,1
2124,depot,1
2125,zooming,1
2126,service rep,1
2127,windows movie maker,1
2128,beauty,1
2129,garmin gps software,1
2130,microsoft office 2003,1
2131,fan noise,1
2132,apple associates,1
2133,mousepad sensitivity,1
2134,mac osx,1
2135,hdd bay,1
2136,leather carrying case,1
2137,commodity hardware,1
2138,paralles,1
2139,windows xp professional,1
2140,windows server enterprise 2003,1
2141,windows server 2008 enterprise,1
2142,repair,1
